60;[60, 65[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
61;[60, 65[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
62;[60, 65[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
63;[60, 65[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
64;[60, 65[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
65;[65, 70[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
66;[65, 70[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
67;[65, 70[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
68;[65, 70[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
69;[65, 70[;[60, 70[;[60, 80[;[60, 100[;[60, 121[
70;[70, 75[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
71;[70, 75[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
72;[70, 75[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
73;[70, 75[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
74;[70, 75[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
75;[75, 80[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
76;[75, 80[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
77;[75, 80[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
78;[75, 80[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
79;[75, 80[;[70, 80[;[60, 80[;[60, 100[;[60, 121[
80;[80, 85[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
81;[80, 85[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
82;[80, 85[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
83;[80, 85[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
84;[80, 85[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
85;[85, 90[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
86;[85, 90[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
87;[85, 90[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
88;[85, 90[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
89;[85, 90[;[80, 90[;[80, 100[;[60, 100[;[60, 121[
90;[90, 95[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
91;[90, 95[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
92;[90, 95[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
93;[90, 95[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
94;[90, 95[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
95;[95, 100[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
96;[95, 100[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
97;[95, 100[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
98;[95, 100[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
99;[95, 100[;[90, 100[;[80, 100[;[60, 100[;[60, 121[
100;[100, 105[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
101;[100, 105[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
102;[100, 105[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
103;[100, 105[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
104;[100, 105[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
105;[105, 110[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
106;[105, 110[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
107;[105, 110[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
108;[105, 110[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
109;[105, 110[;[100, 110[;[100, 120[;[100, 121[;[60, 121[
110;[110, 115[;[110, 120[;[100, 120[;[100, 121[;[60, 121[
111;[110, 115[;[110, 120[;[100, 120[;[100, 121[;[60, 121[
112;[110, 115[;[110, 120[;[100, 120[;[100, 121[;[60, 121[
113;[110, 115[;[110, 120[;[100, 120[;[100, 121[;[60, 121[
114;[110, 115[;[110, 120[;[100, 120[;[100, 121[;[60, 121[
115;[115, 120[;[110, 120[;[100, 120[;[100, 121[;[60, 121[
118;[115, 120[;[110, 120[;[100, 120[;[100, 121[;[60, 121[
119;[115, 120[;[110, 120[;[100, 120[;[100, 121[;[60, 121[
120;[120, 121[;[120, 121[;[120, 121[;[100, 121[;[60, 121[
